"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 18 18:47:42 GMT 2022","Mon Jul 18 18:47:44 GMT 2022","1830","","TestCardsPage","","TestCardsPage","testName","testName()",""
"broken","Mon Jul 18 18:47:44 GMT 2022","Mon Jul 18 18:47:46 GMT 2022","2175","","TestAlertBoxPage","","TestAlertBoxPage","testAlertBox","testAlertBox()",""
"passed","Mon Jul 18 18:47:37 GMT 2022","Mon Jul 18 18:47:39 GMT 2022","2990","","TestPaginationPage","","TestPaginationPage","testCount","testCount()",""
"passed","Mon Jul 18 18:47:46 GMT 2022","Mon Jul 18 18:47:56 GMT 2022","10275","","TestProgressBarPage","","TestProgressBarPage","testDownload","testDownload()",""
"passed","Mon Jul 18 18:47:40 GMT 2022","Mon Jul 18 18:47:42 GMT 2022","2095","","TestDropDownPage","","TestDropDownPage","testDay","testDay()",""
